Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
1-new-and-sale-badge-product,1. New and sale badge product,"<p>Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old. Richard McClintock, a Latin professor at Hampden-Sydney College in Virginia, looked up one of the more obscure Latin words, consectetur, from a Lorem Ipsum passage, and going through the cites of the word in classical literature, discovered the undoubtable source. Lorem Ipsum comes from sections 1.10.32 and 1.10.33 of ""de Finibus Bonorum et Malorum"" (The Extremes of Good and Evil) by Cicero, written in 45 BC. This book is a treatise on the theory of ethics, very popular during the Renaissance. The first line of Lorem Ipsum, ""Lorem ipsum dolor sit amet.."", comes from a line in section 1.10.32.</p>
<p>The standard chunk of Lorem Ipsum used since the 1500s is reproduced below for those interested. Sections 1.10.32 and 1.10.33 from ""de Finibus Bonorum et Malorum"" by Cicero are also reproduced in their exact original form, accompanied by English versions from the 1914 translation by H. Rackham.</p>
[new_products]300[/new_products] [short_description]
<p>Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old. Richard McClintock, a Latin professor at Hampden-Sydney College in Virginia,</p>
[/short_description] [product_description]
<p>Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old. Richard McClintock, a Latin professor at Hampden-Sydney College in Virginia, looked up one of the more obscure Latin words, consectetur, from a Lorem Ipsum passage, and going through the cites of the word in classical literature, discovered the undoubtable source. Lorem Ipsum comes from sections 1.10.32 and 1.10.33 of ""de Finibus Bonorum et Malorum"" (The Extremes of Good and Evil) by Cicero, written in 45 BC. This book is a treatise on the theory of ethics, very popular during the Renaissance. The first line of Lorem Ipsum, ""Lorem ipsum dolor sit amet.."", comes from a line in section 1.10.32.</p>
<p>The standard chunk of Lorem Ipsum used since the 1500s is reproduced below for those interested. Sections 1.10.32 and 1.10.33 from ""de Finibus Bonorum et Malorum"" by Cicero are also reproduced in their exact original form, accompanied by English versions from the 1914 translation by H. Rackham.</p>
[/product_description]",Vendor 1,Type 1,"blue, green, l, m, red, s, white, xl, yellow",TRUE,Size,s,Color,red,,,'1510,0,shopify,10,deny,manual,110,130,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0086/1411/7434/products/1.jpg?v=1619507276,1,,FALSE,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0086/1411/7434/products/1.jpg?v=1619507276,kg,,,active
1-new-and-sale-badge-product,,,,,,,,s,,green,,,'1511,0,shopify,8,deny,manual,110,130,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0086/1411/7434/products/2_40d9c634-67d1-4623-a7d5-c2ef2b24db83.jpg?v=1619507277,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0086/1411/7434/products/2_40d9c634-67d1-4623-a7d5-c2ef2b24db83.jpg?v=1619507277,kg,,,
1-new-and-sale-badge-product,,,,,,,,s,,blue,,,'1512,0,shopify,10,deny,manual,110,130,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0086/1411/7434/products/3_00f4381c-69ee-413c-bdaf-d635a392bd1d.jpg?v=1619507277,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0086/1411/7434/products/3_00f4381c-69ee-413c-bdaf-d635a392bd1d.jpg?v=1619507277,kg,,,
1-new-and-sale-badge-product,,,,,,,,s,,yellow,,,'1513,0,shopify,7,deny,manual,110,130,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0086/1411/7434/products/4_b0f3af65-1151-442e-9ade-09deb3213eac.jpg?v=1619507277,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0086/1411/7434/products/4_b0f3af65-1151-442e-9ade-09deb3213eac.jpg?v=1619507277,kg,,,
1-new-and-sale-badge-product,,,,,,,,s,,white,,,'1514,0,shopify,6,deny,manual,110,130,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0086/1411/7434/products/5_5bd66d06-edfb-435b-a127-ab5533abdb0b.jpg?v=1619507277,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0086/1411/7434/products/5_5bd66d06-edfb-435b-a127-ab5533abdb0b.jpg?v=1619507277,kg,,,
1-new-and-sale-badge-product,,,,,,,,m,,red,,,'1515,0,shopify,5,deny,manual,110,130,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0086/1411/7434/products/5_5bd66d06-edfb-435b-a127-ab5533abdb0b.jpg?v=1619507277,kg,,,
1-new-and-sale-badge-product,,,,,,,,m,,green,,,'1516,0,shopify,8,deny,manual,110,130,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0086/1411/7434/products/4_b0f3af65-1151-442e-9ade-09deb3213eac.jpg?v=1619507277,kg,,,
1-new-and-sale-badge-product,,,,,,,,m,,blue,,,'1517,0,shopify,9,deny,manual,110,130,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0086/1411/7434/products/3_00f4381c-69ee-413c-bdaf-d635a392bd1d.jpg?v=1619507277,kg,,,
1-new-and-sale-badge-product,,,,,,,,m,,yellow,,,'1518,0,shopify,6,deny,manual,110,130,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0086/1411/7434/products/2_40d9c634-67d1-4623-a7d5-c2ef2b24db83.jpg?v=1619507277,kg,,,
1-new-and-sale-badge-product,,,,,,,,m,,white,,,'1519,0,shopify,4,deny,manual,110,130,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0086/1411/7434/products/1.jpg?v=1619507276,kg,,,
1-new-and-sale-badge-product,,,,,,,,l,,red,,,'1520,0,shopify,3,deny,manual,110,130,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0086/1411/7434/products/2_40d9c634-67d1-4623-a7d5-c2ef2b24db83.jpg?v=1619507277,kg,,,
1-new-and-sale-badge-product,,,,,,,,l,,green,,,'1521,0,shopify,0,deny,manual,110,130,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0086/1411/7434/products/3_00f4381c-69ee-413c-bdaf-d635a392bd1d.jpg?v=1619507277,kg,,,
